capacity,environment,survival,start,control,year,all_pairs,individual_paired_survivors,density_paired_positive,individual_access_grid4_minus_grid3,individual_access_mcse,individual_investment_grid4_minus_grid3,individual_investment_mcse,density_access_grid4_minus_grid3,density_access_mcse,density_investment_grid4_minus_grid3,density_investment_mcse,extinction_difference,extinction_difference_mcse
48,both,0.0,0.3,neutral,10,16,16,16,-0.0005425347222221197,0.005902775118293253,0.004448784722222265,0.00433381680565604,-0.0006727430555555254,0.0007517372805460976,-0.0013454861111111584,0.00086740426956499,0.0,0.0
48,both,0.0,0.3,neutral,40,16,16,16,0.0028211805555555802,0.016168743546345118,0.013302951388888984,0.016745530967577898,-0.0006727430555555046,0.0007517372805460972,-0.0013454861111111133,0.0008674042695649858,0.0,0.0
48,both,0.0,0.3,neutral,50,16,16,16,0.002343750000000016,0.019564477908036376,0.008224826388888912,0.017254001734100088,-0.0006727430555555358,0.0007517372805461017,-0.0013454861111111792,0.0008674042695649858,0.0,0.0
48,both,0.0,0.3,neutral,100,16,16,16,0.028016493055555557,0.02186693153737825,0.02070312500000007,0.02289589571020592,-0.0006727430555555115,0.0007517372805461032,-0.0013454861111111202,0.0008674042695649759,0.0,0.0
48,both,0.0,0.3,neutral,200,16,16,16,0.023697916666666693,0.023673484047196554,0.018750000000000103,0.024714808501367445,-0.0006727430555554664,0.0007517372805460936,-0.001345486111111082,0.0008674042695649971,0.0,0.0
48,both,0.0,0.3,neutral,400,16,16,16,0.014583333333333358,0.025634314025453353,0.018750000000000103,0.024714808501367445,-0.0006727430555554179,0.000751737280546095,-0.001345486111111148,0.0008674042695649861,0.0,0.0
48,both,0.0,0.3,selected,10,16,16,16,-0.01438802083333324,0.007350810672897798,-0.004188368055555548,0.009237213451408679,-0.0029810275403918656,0.001682485543310177,-0.0020130897263975316,0.0007280818082056086,0.0,0.0
48,both,0.0,0.3,selected,40,16,16,16,-0.029861111111111047,0.01730108256390999,-0.0038845486111112014,0.018099106651570617,-0.00453030925366949,0.0021236531086960228,0.002020463697364073,0.0016296117153108821,0.0,0.0
48,both,0.0,0.3,selected,50,16,16,16,-0.027625868055555527,0.018266770318610286,0.00015190972222219046,0.01955868620168893,-0.0037990534028264997,0.0021756843106500905,0.003530269151853109,0.0014635448701770754,0.0,0.0
48,both,0.0,0.3,selected,100,16,16,16,-0.026757812499999985,0.0235263975244745,-0.010850694444444562,0.021959929834992,-0.002844167080003004,0.002730677990676316,0.007485842918000571,0.0012799337951314859,0.0,0.0
