environment,survival,selfing,start,control,year,campaign,variant,depression,ovule_effort,pollen_effort,comparison,all_pairs,paired_survivors,target_extinctions,reference_extinctions,access_difference,access_mcse,investment_difference,investment_mcse,extinction_difference,extinction_difference_mcse
both,0.0,0.1,0.3,neutral,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,138,118,12,-0.0006752446792784696,0.0027920621626545206,-0.002461341819789876,0.0026138913435971287,0.4140625,0.030845265063510725
both,0.0,0.1,0.3,neutral,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,2,254,229,0.025386605923641337,0.008471159596168898,0.06155940676758534,0.0398696765118143,0.09765625,0.0185894242372986
both,0.0,0.1,0.3,neutral,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,251,,,,,0.01953125,0.008665862769678052
both,0.0,0.1,0.3,neutral,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.3,neutral,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.3,neutral,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.3,selected,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,155,101,8,-0.0002621165978669148,0.002178295266387778,0.0035665050112178966,0.002525037760648323,0.36328125,0.030117937030518287
both,0.0,0.1,0.3,selected,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,2,254,230,-0.04815207337482613,0.0052478334063786325,-0.0323956181717919,0.050190405163652994,0.09375,0.018253222922509426
both,0.0,0.1,0.3,selected,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,243,,,,,0.05078125,0.013748798827881614
both,0.0,0.1,0.3,selected,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.3,selected,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.3,selected,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.7,neutral,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,136,120,17,-0.005817369882984315,0.002772575561978283,0.0033873116899738086,0.002963453192345643,0.40234375,0.030708193760989915
both,0.0,0.1,0.7,neutral,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,9,247,222,0.009973836123221594,0.022669287816629677,-0.013065356608631888,0.01715335443735626,0.09765625,0.0185894242372986
both,0.0,0.1,0.7,neutral,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,3,253,243,-0.04033192613615111,0.02584367409762852,-0.01897644004547729,0.059164620532603136,0.0390625,0.012132701086805225
both,0.0,0.1,0.7,neutral,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.7,neutral,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.7,neutral,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
