environment,survival,selfing,start,control,year,campaign,variant,depression,ovule_effort,pollen_effort,comparison,all_pairs,paired_survivors,target_extinctions,reference_extinctions,access_difference,access_mcse,investment_difference,investment_mcse,extinction_difference,extinction_difference_mcse
both,0.0,0.1,0.7,selected,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,139,116,17,0.0009499598108772492,0.002407618885282125,0.00761426400887243,0.0029643805206725966,0.38671875,0.03099524684613265
both,0.0,0.1,0.7,selected,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,10,246,226,0.0033833130494506534,0.00844536598272255,0.007654316240580578,0.021149646585004633,0.078125,0.01680586783321382
both,0.0,0.1,0.7,selected,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,3,253,245,-0.015449526341856035,0.01062313198669589,0.02739910272765006,0.0430765457424956,0.03125,0.010895841534507468
both,0.0,0.1,0.7,selected,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.7,selected,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.7,selected,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.75,0.1,0.3,neutral,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,256,0,0,-0.00029748676571028437,0.001433208174593916,0.0015878971177589905,0.0014117882453378787,0.0,0.0
both,0.75,0.1,0.3,neutral,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,31,221,64,-0.00404282211022854,0.01239342465108216,-0.000411376984458872,0.010505508604016214,0.61328125,0.03244406096281072
both,0.75,0.1,0.3,neutral,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,9,245,122,0.004969885019218116,0.033503282538766055,-0.0076751865732216555,0.019314198950713013,0.48046875,0.032251677583571635
both,0.75,0.1,0.3,neutral,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,247,,,,,0.03515625,0.011533461648261191
both,0.75,0.1,0.3,neutral,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,255,,,,,0.00390625,0.00390625
both,0.75,0.1,0.3,neutral,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.75,0.1,0.3,selected,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,256,0,0,-0.000523584967132098,0.0013881300675579941,0.0034805736858280457,0.001585155085672282,0.0,0.0
both,0.75,0.1,0.3,selected,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,36,214,63,-0.0006926740990429331,0.011233436280340688,-0.001687313316286357,0.009599689033453011,0.58984375,0.033653546303003226
both,0.75,0.1,0.3,selected,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,11,243,121,-0.0013642447557236975,0.015661342924399742,0.020365718832776103,0.02521759395422624,0.4765625,0.0322414715030405
both,0.75,0.1,0.3,selected,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,244,,,,,0.046875,0.01323657060837845
both,0.75,0.1,0.3,selected,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.75,0.1,0.3,selected,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.75,0.1,0.7,neutral,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,256,0,0,-0.0030292682824368425,0.0014987517519061328,-0.001519463606075667,0.0014904837745490962,0.0,0.0
both,0.75,0.1,0.7,neutral,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,27,223,55,-0.0036589206426163486,0.010248224734081228,0.007693476264024683,0.013275451034235362,0.65625,0.0326875246035224
both,0.75,0.1,0.7,neutral,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,9,245,110,-0.006575737889605958,0.022775915815788778,-0.029652217200345055,0.022399620536978818,0.52734375,0.03222940560468231
both,0.75,0.1,0.7,neutral,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,243,,,,,0.05078125,0.013748798827881614
both,0.75,0.1,0.7,neutral,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.75,0.1,0.7,neutral,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.75,0.1,0.7,selected,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,256,0,0,-0.003422163119487024,0.001524644553676571,-0.0006151474873950511,0.001403493206888928,0.0,0.0
both,0.75,0.1,0.7,selected,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,26,223,53,-0.002806497277951134,0.011286490957417366,-0.016450876769102528,0.012643372966705044,0.6640625,0.03300451520469675
both,0.75,0.1,0.7,selected,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,13,240,109,-0.009439697856206438,0.016328993431897282,0.030580964904869272,0.017059627437614713,0.51171875,0.03273782790706042
both,0.75,0.1,0.7,selected,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,1,255,242,-0.02346076456879931,,0.08955356640257045,,0.05078125,0.013748798827881614
both,0.75,0.1,0.7,selected,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.75,0.1,0.7,selected,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
mainland,0.0,0.1,0.3,neutral,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,249,7,0,1.3757696307951956e-06,0.0015534137512236447,0.0010777160794874,0.001485900069248078,0.02734375,0.010212654460096235
mainland,0.0,0.1,0.3,neutral,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,201,55,22,-0.0036727684001622643,0.0028984602920976883,0.001953959469715925,0.002941103841551265,0.12890625,0.0209845348013056
mainland,0.0,0.1,0.3,neutral,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,192,64,25,-0.005940588547651119,0.003251255027024776,0.0023139607927550342,0.0033081480813652664,0.15234375,0.022503605971256224
mainland,0.0,0.1,0.3,neutral,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,142,113,40,-0.0062577296647036455,0.005203705843729792,0.01099606247306357,0.005240325907435221,0.28515625,0.02881003794880388
mainland,0.0,0.1,0.3,neutral,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,60,193,97,0.005984186913265491,0.008991591210140967,0.004998067153115422,0.009112591577432064,0.375,0.03179668869182302
mainland,0.0,0.1,0.3,neutral,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,16,238,167,-0.0022869030693188266,0.01812292454579213,0.024893438263402564,0.01738460475347202,0.27734375,0.029107589087622364
mainland,0.0,0.1,0.3,selected,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,248,8,0,-0.001867876777178272,0.0015686546797092802,0.00190666648895926,0.0016249710340883712,0.03125,0.010895841534507468
mainland,0.0,0.1,0.3,selected,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,211,45,15,-0.0010964150886307066,0.002805228293745122,0.0027996517559909554,0.0026224088983731377,0.1171875,0.020142102022804344
mainland,0.0,0.1,0.3,selected,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,204,52,20,-0.00150287678872897,0.0030221007632698017,0.002977952661874349,0.0026939899796491838,0.125,0.02071042173948785
mainland,0.0,0.1,0.3,selected,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,163,93,37,0.0011655656346770868,0.003592257670570505,0.001841197086131124,0.003028385667481364,0.21875,0.025888027174359812
mainland,0.0,0.1,0.3,selected,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,73,181,100,0.007076806232015837,0.005438782521327653,0.010050014889624143,0.004596640500131729,0.31640625,0.030157646899476098
mainland,0.0,0.1,0.3,selected,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,18,236,170,0.010395018336702236,0.00856866134522809,-0.006059714505971481,0.008505315145607697,0.2578125,0.028489434907488762
mainland,0.0,0.1,0.7,neutral,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,254,2,0,6.0413502548965454e-05,0.0015760433108166381,0.0015413741548489786,0.0014416017220243665,0.0078125,0.005513429182282041
mainland,0.0,0.1,0.7,neutral,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,228,28,4,-0.003868128210613033,0.003203006008706319,0.003576539754475862,0.003020129185629432,0.09375,0.018253222922509426
mainland,0.0,0.1,0.7,neutral,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,214,42,6,-0.0047063132743751625,0.00351528278604277,0.0036175771941351653,0.0034196168956704357,0.140625,0.021769704563101122
mainland,0.0,0.1,0.7,neutral,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,160,94,34,-0.004050028798770993,0.004668714157850003,0.004234061072151277,0.004699928650602648,0.234375,0.027658162598649488
mainland,0.0,0.1,0.7,neutral,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,84,167,88,0.012101586048733041,0.007385941109192154,0.015372476862149148,0.007554203267739982,0.30859375,0.031462778971844296
mainland,0.0,0.1,0.7,neutral,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,16,239,166,0.026243066436170685,0.01970385589270931,0.013545291666904689,0.01774250560368757,0.28515625,0.02881003794880388
mainland,0.0,0.1,0.7,selected,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,256,0,0,0.0014748286891836438,0.0015115458456295677,0.0012052986441667775,0.0014847764869367292,0.0,0.0
mainland,0.0,0.1,0.7,selected,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,228,28,4,0.0009532353474190931,0.002550787936932561,0.006051169146804847,0.0023485401494519388,0.09375,0.018253222922509426
mainland,0.0,0.1,0.7,selected,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,218,38,8,-0.0006464152559617906,0.0029584755736061503,0.005984322794422509,0.0027540949890123303,0.1171875,0.020142102022804344
mainland,0.0,0.1,0.7,selected,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,172,83,34,-0.0032081563696969577,0.0039193141718074035,0.01312931387511993,0.0031743042036787056,0.19140625,0.025250307508198358
mainland,0.0,0.1,0.7,selected,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,93,162,80,0.00031996833790143227,0.005904854207127754,0.011085842474002204,0.004383459167188061,0.3203125,0.029739054822576255
mainland,0.0,0.1,0.7,selected,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,23,232,157,0.02135386588813301,0.011136053639448812,0.018758002125119112,0.009704232067533073,0.29296875,0.029033487191918304
mainland,0.75,0.1,0.3,neutral,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,256,0,0,-0.0013646202087740063,0.001197043865941793,-0.0011368206865962878,0.001165420525177984,0.0,0.0
mainland,0.75,0.1,0.3,neutral,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,157,98,5,-0.0011928514800450044,0.003022451323785199,0.0004481201849380152,0.0026757780563239283,0.36328125,0.030622334755472606
mainland,0.75,0.1,0.3,neutral,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,134,121,8,-0.0010308290350170288,0.003534884638938033,0.00620901782985735,0.0031735201356212052,0.44140625,0.03158426466385782
mainland,0.75,0.1,0.3,neutral,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,49,207,53,-0.011750533593597701,0.0084429956120279,0.0075347420116533914,0.006005262049629384,0.6015625,0.030658463859919664
mainland,0.75,0.1,0.3,neutral,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,6,250,130,-0.043073044915495316,0.021350822635422314,0.02764137739484458,0.03866111198697578,0.46875,0.03125
mainland,0.75,0.1,0.3,neutral,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,192,,,,,0.25,0.02711630722733202
mainland,0.75,0.1,0.3,selected,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,256,0,0,0.0003646418226274607,0.001124846678745241,0.0006617543367993725,0.001165396171323313,0.0,0.0
mainland,0.75,0.1,0.3,selected,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,166,90,6,0.0040972562663060446,0.0031597715592439246,0.0019254089983089856,0.00352847413442632,0.328125,0.029403146715355242
mainland,0.75,0.1,0.3,selected,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,135,121,11,0.007291318206312433,0.0035472975822226074,0.0017436310932413836,0.0037828430593698148,0.4296875,0.031000072886932024
mainland,0.75,0.1,0.3,selected,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,48,208,48,0.001594660019071184,0.006826127638126754,0.016541482624255102,0.006909608240772211,0.625,0.03031695312954162
mainland,0.75,0.1,0.3,selected,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,7,249,115,0.01666401346688398,0.018782049373857433,0.03344094176034777,0.025745790246890603,0.5234375,0.03127679610953544
mainland,0.75,0.1,0.3,selected,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,184,,,,,0.28125,0.028155620586096754
mainland,0.75,0.1,0.7,neutral,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,256,0,0,0.00042798105745036523,0.001135836270917075,0.0006572309378506073,0.0011646173595393392,0.0,0.0
mainland,0.75,0.1,0.7,neutral,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,183,73,3,-0.002290423258056125,0.0029251766896166683,0.0053175802982659195,0.002953959453833576,0.2734375,0.027912287939448926
mainland,0.75,0.1,0.7,neutral,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,151,105,5,-0.0009686161727928136,0.0035259484974877486,0.010150636728004842,0.003866557725417673,0.390625,0.030552886284181364
mainland,0.75,0.1,0.7,neutral,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,60,196,35,0.0054761710589817545,0.005556362989592409,0.005159420698855315,0.007506266015470653,0.62890625,0.03025273792250212
mainland,0.75,0.1,0.7,neutral,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,4,252,106,-4.910426554810554e-05,0.03490366078770624,0.0511273623811163,0.026294993969804312,0.5703125,0.031000072886932024
mainland,0.75,0.1,0.7,neutral,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,187,,,,,0.26953125,0.02778659256840428
mainland,0.75,0.1,0.7,selected,10,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,256,0,0,-0.0008711217570210469,0.0010705065250609233,0.0010583411929537706,0.0011765946973551708,0.0,0.0
mainland,0.75,0.1,0.7,selected,40,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,193,62,6,0.0004284315101585993,0.0029619955747733667,0.0013416340491774277,0.002936934752282965,0.21875,0.0264731412167569
mainland,0.75,0.1,0.7,selected,50,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,157,99,8,-0.0004418273581671567,0.0032891352178009794,0.002666811660993095,0.00335711229580517,0.35546875,0.029974545918713902
mainland,0.75,0.1,0.7,selected,100,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,72,184,35,-0.007994723978518924,0.00553120487859239,0.008009777747477497,0.005915334326615304,0.58203125,0.030886945908310395
mainland,0.75,0.1,0.7,selected,200,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,11,245,89,0.009372510055519322,0.016881367802142264,0.025963947725131987,0.015813592617405718,0.609375,0.030552886284181364
mainland,0.75,0.1,0.7,selected,400,assurance,a0.1_d0.5,0.5,lifetime,lifetime,depression_vs_zero,256,0,256,174,,,,,0.3203125,0.02921941352659624
both,0.0,0.1,0.3,neutral,10,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,96,160,12,-0.0025150338108242912,0.0031169781178261016,0.0002998149669018856,0.0027720370398103284,0.578125,0.03092663579296313
both,0.0,0.1,0.3,neutral,40,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,1,255,229,-0.028011740129984197,,0.03461074425170735,,0.1015625,0.018916489185701057
both,0.0,0.1,0.3,neutral,50,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,251,,,,,0.01953125,0.008665862769678052
both,0.0,0.1,0.3,neutral,100,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.3,neutral,200,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.3,neutral,400,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.3,selected,10,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,100,156,8,-0.0016169491271241384,0.002666280161434573,0.0011158763363430157,0.002936323887944586,0.578125,0.03092663579296313
both,0.0,0.1,0.3,selected,40,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,1,255,230,-0.03990658296133753,,0.0329738767501474,,0.09765625,0.0185894242372986
both,0.0,0.1,0.3,selected,50,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,243,,,,,0.05078125,0.013748798827881614
both,0.0,0.1,0.3,selected,100,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.3,selected,200,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.3,selected,400,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.7,neutral,10,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,84,172,17,-0.006337335094525724,0.0028683710472329,-0.003438417872052539,0.003063690505454895,0.60546875,0.030606698150250366
both,0.0,0.1,0.7,neutral,40,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,5,251,222,-0.031283248482837124,0.014397923695506229,0.0055010447676246185,0.00684908718078077,0.11328125,0.01984732000463593
both,0.0,0.1,0.7,neutral,50,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,2,254,243,-0.06667118530658944,0.0016144981187050653,-0.002749056682696205,0.0061679462650161545,0.04296875,0.012698994328475655
both,0.0,0.1,0.7,neutral,100,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.7,neutral,200,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.7,neutral,400,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.7,selected,10,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,93,163,17,-0.0020672043587274033,0.0024851451758906634,0.009140957015905895,0.00319607200027669,0.5703125,0.031000072886932024
both,0.0,0.1,0.7,selected,40,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,5,251,226,-0.02411394097311683,0.006118545998396251,0.02325089263913612,0.016299389751076778,0.09765625,0.0185894242372986
both,0.0,0.1,0.7,selected,50,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,2,254,245,0.0004921956087096113,0.010632626139489119,0.021592958867098888,0.015231685711191932,0.03515625,0.011533461648261191
both,0.0,0.1,0.7,selected,100,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.7,selected,200,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.0,0.1,0.7,selected,400,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.75,0.1,0.3,neutral,10,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,254,2,0,0.0004154236421096096,0.0015466926102445304,0.0007627984486081163,0.00165711674686167,0.0078125,0.005513429182282041
both,0.75,0.1,0.3,neutral,40,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,1,254,64,-0.08716322313192235,,0.001251666726568068,,0.7421875,0.02794656770421152
both,0.75,0.1,0.3,neutral,50,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,122,,,,,0.5234375,0.03127679610953544
both,0.75,0.1,0.3,neutral,100,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,247,,,,,0.03515625,0.011533461648261191
both,0.75,0.1,0.3,neutral,200,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,255,,,,,0.00390625,0.00390625
both,0.75,0.1,0.3,neutral,400,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.75,0.1,0.3,selected,10,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,254,2,0,0.0009540270737049074,0.0016110444336544531,0.00347731673747192,0.0017027294662794032,0.0078125,0.005513429182282041
both,0.75,0.1,0.3,selected,40,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,2,254,63,-0.012774172450276594,0.044022422097817836,0.08041366979767708,0.01857888142301764,0.74609375,0.027256074423586178
both,0.75,0.1,0.3,selected,50,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,1,255,121,-0.01731628125695961,,0.10208881030577066,,0.5234375,0.03127679610953544
both,0.75,0.1,0.3,selected,100,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,244,,,,,0.046875,0.01323657060837845
both,0.75,0.1,0.3,selected,200,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.75,0.1,0.3,selected,400,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,256,256,,,,,0.0,0.0
both,0.75,0.1,0.7,neutral,10,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,255,1,0,-0.002479295091467529,0.0017301731757180029,-0.003025074977408078,0.0016828850691362313,0.00390625,0.00390625
both,0.75,0.1,0.7,neutral,40,assurance,a0.1_d0.9,0.9,lifetime,lifetime,depression_vs_zero,256,0,255,55,,,,,0.78125,0.0264731412167569
