source_id,source_locator,population,island_or_mainland,locality_habitat,elevation_m,flowering_window,seed_dispersal_window,notes
inoue_washitani1989_psb4_69,Table 1,Fujiyoshida,Mainland Yamanashi,"Fujiyoshida, Mt Shakuchi, hillside",1000,"late July-early August","late August-early September",Direct table transcription
inoue_washitani1989_psb4_69,Table 1,Ichihara,Mainland Chiba,"Ichihara, Oboko, roadside",80,"middle-late June","middle-late July",Direct table transcription
inoue_washitani1989_psb4_69,Table 1,Oshima,Oshima,"Naga-hama, beach",5,"early-middle July","early-middle August",Direct table transcription
inoue_washitani1989_psb4_69,Table 1,Toshima,Toshima,"Maehama, roadside",40,"early-middle July","early-middle August",Direct table transcription
inoue_washitani1989_psb4_69,Table 1,Niijima,Niijima,"Mukoyama, hillside",200,"late July","early-late August",Direct table transcription
inoue_washitani1989_psb4_69,Table 1,Kozu,Kozushima,"Naga-hama, beach",5,"early-middle July","early-middle August",Direct table transcription
inoue_washitani1989_psb4_69,Table 1,Miyake,Miyake,"Hinoyama-toge, lava hillside",160,"early-late July","early-late August",Direct table transcription
inoue_washitani1989_psb4_69,Table 1,Hachijo,Hachijo,"Oago, hillside",100,"early-late July","early-late August",Direct table transcription
